entry	main	second	language	dictionary	homonym	label
Anpay	Volcán apagado en el distrito de Tamburco, departamento de Apurímac, Perú, a 4,369 m.s.n.m. El cráter, contiene una laguna y vegetación de intinpa. Temporalmente se cubre de nieve.	Comunidad del distrito de P'isaq, Calca, Qosqo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Folklore
Anpay	Volcán apagado en el distrito de Tamburco, departamento de Apurímac, Perú, a 4,369 m.s.n.m. El cráter, contiene una laguna y vegetación de intinpa. Temporalmente se cubre de nieve.	Juego de niños que consiste en contar de uno en uno y luego de diez en diez.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Folklore
Anpay	Volcán apagado en el distrito de Tamburco, departamento de Apurímac, Perú, a 4,369 m.s.n.m. El cráter, contiene una laguna y vegetación de intinpa. Temporalmente se cubre de nieve.	Danza folklórica apurimefia.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Folklore
anqosay	Acción de brindar.	Brindar. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  verbo
Anta	Provincia y capital del mismo nombre en el departamento del Qosqo, Perú, creada en 1825. Sus distritos son: Anta, Chinchaysuyu, Hua-rocondo, Limatambo, Molle-pata, Pukyura, Zurite, Cachimayo y Ankawasi, con un total de 48,452 habitantes en 1981.	Provincias de los departamentos de Ancash y Huancavelica, en el Perú. Su denominación se debe a la riqueza mineral de cobre que poseen.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Argentina
Anta	Provincia y capital del mismo nombre en el departamento del Qosqo, Perú, creada en 1825. Sus distritos son: Anta, Chinchaysuyu, Hua-rocondo, Limatambo, Molle-pata, Pukyura, Zurite, Cachimayo y Ankawasi, con un total de 48,452 habitantes en 1981.	Departamento de la provincia de Salta.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Argentina
anta	Met. Metal cobre, de coloración amarillo - rojo.	Mineral. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Metalurgia | Bolivia |  Zoología | adjetivo
anta	Met. Metal cobre, de coloración amarillo - rojo.	(Tapiros americanas). Mamífero paquidermo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Metalurgia | Bolivia |  Zoología | adjetivo
anta	Met. Metal cobre, de coloración amarillo - rojo.	Color cobre, cobrizo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Metalurgia | Bolivia |  Zoología | adjetivo
antachay	Bañar un objeto de color azulino. Se utiliza antallu.	Aspecto áureo del cobre.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | adjetivo
antachay	Bañar un objeto de color azulino. Se utiliza antallu.	Color amarillo verdoso.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | adjetivo
Antamarka	Andamarca. Distritos de las provincias de Jauja en Junín, de Canta en Lima, y Lucanas en Ayacucho, Perú.	Cantón de la provincia de Carangas, Oruro, Bolivia.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Historia
Antamarka	Andamarca. Distritos de las provincias de Jauja en Junín, de Canta en Lima, y Lucanas en Ayacucho, Perú.	Río en que murió ahogado el Inka Waskar, por orden de su hermano el Inka Atawallpa.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Historia
Antapanpa	(Planicie cobriza). En tiempo de los inkas por esta explanada pasaba el Camino Real o qhapaq ñan hacia el Chinchaysuyu, empedrado y con muros laterales. Está ubicado en la provincia de Anta, Qosqo.	Antabamba. Provincia del departamento de Apurímac, creada en 1872. Sus distritos son: Atabamba, Oro-pesa, Pachaconas, Sabaino y Huaquirca. En Huaquirca nació en 1632, de padres nativos, el ilustre sacerdote Juan Espinoza Medrano, El Lunarejo o Demostenes Indiano.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Historia | Geografía
Antasituwa	Etapa de un año astronómico inkaico que concuerda con el mes de julio. Ec: antakitua.	V. CHAYA-WARKI.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Astronomía
antawich'i	Cangilón de cobre.	Barriga de cobre.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Bolivia
antayqonchoy	Remolino de viento terroso. Viento arremolinado. Torbellino.	Remolino de aguas turbias. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Meteorología
antharay	Tocar la antara.	Musicalizar en actividades agrícolas con carácter ritual en Quispicanchis, Qosqo, Perú.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | Música
Anti	Región selvática del área andina, o región de la salida del Sol. Correspondía a Antisuyu. (V. ANTISUYU).	Palabra que dio origen a la denominación Andes, a la inmensa cordillera que atraviesa la A-mérica del Sur.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía
Anti	Región selvática del área andina, o región de la salida del Sol. Correspondía a Antisuyu. (V. ANTISUYU).	Región oriental de la ciudad del Qosqo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía
Anti	Región selvática del área andina, o región de la salida del Sol. Correspondía a Antisuyu. (V. ANTISUYU).	Pueblos del oriente peruano.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía
Anti	Región selvática del área andina, o región de la salida del Sol. Correspondía a Antisuyu. (V. ANTISUYU).	Pe. Cej: Lugar por donde sale el Sol.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía
antikuna	Metales o minerales.	Habitantes de la zona selvática. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Minería
Antisuyu	Una de las cuatro regiones o suyas del Imperio del Tawantinsuyu de los inkas. Corresponde al E o Anti.	Región, nación o provincia selvática.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Historia
Antisuyu	Una de las cuatro regiones o suyas del Imperio del Tawantinsuyu de los inkas. Corresponde al E o Anti.	A partir del inka Pachakuteq, la región Anti fue conquistada parcialmente por los inkas, siendo uno de los obstáculos la enmarañada selva y sus enfermedades.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Historia
anya	Reprensión, admonición, amonestación, advertencia.	Consejo, convencimiento.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
anyanakuy	Acción de amonestarse mutuamente.	Darse amonestaciones recíprocas.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  verbo
anyay	Amonestar, advertir.	Convencer.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
añaka	Manjar, golosina.	Dulce. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo
añas	(Conepatus inka Ihomas. Conepatus semistria-tus Boddaen). Zorrino. Mofeta. Mamífero mustélido, nocturno, de color negro, con banda blanca en la región dorsal y a veces en la cola. Tiene orina sumamente hedionda. 	Zorrillo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología | Ecuador
añay	Gracias. Agradecimiento, gratitud.	Ladrar el perro. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  verbo
apa	Hermanos inmediatos por nacimiento. 	Frazada. / Anciano.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Perú Ayacucho | Bolivia | Ecuador
apa	Hermanos inmediatos por nacimiento. 	Frazada.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Perú Ayacucho | Bolivia | Ecuador
apa	Hermanos inmediatos por nacimiento. 	Manta, colchón. / Manada.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Perú Ayacucho | Bolivia | Ecuador
apachikuq	y s. Remitente. Persona que remite una encomienda suplicatoriamente.	El que se deja llevar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
apakuy	Llevar algo para sí, con o sin el consentimiento del dueño. 	Aluvión.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | Perú Ancash
Phormictopus	Xenes this. Pamphobetus y otras especies). Araña grande con densos pelos sobre su cuerpo. 	(Astacus jluvialis). Cangrejo de río. Ec: apangura.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	
apaqay	Bajar algo. 	Represar el agua para cambiar su rumbo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | Bolivia
apay	Acción de llevar, transportar o conducir algo.	Llevar, conducir o transportar algo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo |  verbo
apaykachay	V. pusaykachay. apaysiy. v. Ayudar a llevar algo, api. s. alim. Mazamorra de maíz, rumu, apichu, khumara, kiwi-cha, qañiwa, etc. endulzada con fruto de mofle o miel.	Mojado, muy mojado. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | adjetivo
apiña,	(Trcpaeolum tube-rosum R.). Tubérculo de la familia de las tropoleas, semejante a la oca. Variedades: ch'eqchi apiña, q'ellu apiña, muru apiña, oqe apiña, puka apiña y y ana apiña. 	V. OQA.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Botánica
Apu	Espíritu tutelar de un pueblo que habita en las cimas de los cerros, en los nevados, en la pendería o en una waka importante. 	Jefe, mandatario, superior.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Mitología | Ecuador
apukay	Dignidad, excelencia.	Divinidad.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
apula	Señor de la alta jerarquía social con título de autoridad.	apulla (rico).	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Ecuador
Apurimaq	y Mit. (El dios que habla). Dios de la cultura Ch'anka.	Apurímac. Departamento del Perú con 323,346 habitantes y su capital, la ciudad de Abancay, con 62,024, en 1981. Su territorio fue habitado por los ch'ankas.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Historia | Geografía | Geografía
Apurimaq	y Mit. (El dios que habla). Dios de la cultura Ch'anka.	Río del Perú que unido al Urubamba forma el Ucayali. Tiene 800 kms. de longitud.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Historia | Geografía | Geografía
apuruku	Garañón. Semental.	Perro grande.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología
apuruku	Garañón. Semental.	Vestimenta de cueros de felino usado por los apus y complementado con plumas multicolores. Pe.Aya: apunku.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología
apuskachay	Orgullo, vanidad, egolatría.	Ponerse vanidoso. Sentirse orgulloso. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  verbo
apuski	Antepasado. Generación pasada.	Abuelo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
apusonqo	Engreído, envanecido, ensimismado.	Persona creída para ocupar cargos de gobierno. Ec: aposonjo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
aqchu	(Anoplay encplasp). Gusano del tallo y hojas de los tubérculos,	Persona que destroza todo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología | familiar | Argentina
aqchu	(Anoplay encplasp). Gusano del tallo y hojas de los tubérculos,	Cualquier tipo de gusano destructor de plantas.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología | familiar | Argentina
aqo	Arena.	Arenoso. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo
Aqopanpa	(Pampa arenosa). Acobamba. Distrito de la provincia de Tarma, Junín, Perú, con 10,035 habitantes en 1981.	Provincia del departamento de Huancavelica con 37,732 habitantes en 1981.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía
aqoya	Tierra preparada para la siembra.	Nombre ceremonial del maíz. (J.L.O.M.)	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Agricultura
aqoyk'aphka	(Piles ma-crcphila). Planta de ceja de selva, cubierta de pelusa blanca y flores moradas. Med.Folk. Los frutos molidos y reposados se utilizan para curar la tartamudez.	Frenillo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Botánica | Anatomía
aqoytakuy	Satisfacción, complacencia.	Embozarse.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Bolivia
aqtuy	Vomitar. Devolver lo que se ingirió. 	Devolver lo mal habido. Pe.Aya: akruy, kipnay, kuti-chiy. Bol: weqoy, kutichiy. Ec: shungutikray.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | familiar
